ticker,asset_class,point_value,active
WIN,futures,0.20,false
WDO,futures,10,false
IND,futures,1,false
DOL,futures,50,false
BIT,futures,10,false
PETR3,equity,1,false
PETR4,equity,1,false
PETR11,equity,1,false
VALE3,equity,1,false
VALE4,equity,1,false
VALE11,equity,1,false
ITUB3,equity,1,false
ITUB4,equity,1,false
ITUB11,equity,1,false
BBDC3,equity,1,false
BBDC4,equity,1,false
BBDC11,equity,1,false
BBAS3,equity,1,false
BBAS4,equity,1,false
BBAS11,equity,1,false
ABEV3,equity,1,false
ABEV4,equity,1,false
ABEV11,equity,1,false
LREN3,equity,1,false
LREN4,equity,1,false
LREN11,equity,1,false
MGLU3,equity,1,false
MGLU4,equity,1,false
MGLU11,equity,1,false
CVCB3,equity,1,false
CVCB4,equity,1,false
CVCB11,equity,1,false
VIIA3,equity,1,false
VIIA4,equity,1,false
VIIA11,equity,1,false
JBSS3,equity,1,false
JBSS4,equity,1,false
JBSS11,equity,1,false
BRFS3,equity,1,false
BRFS4,equity,1,false
BRFS11,equity,1,false
TIMS3,equity,1,false
TIMS4,equity,1,false
TIMS11,equity,1,false
RAIL3,equity,1,false
RAIL4,equity,1,false
RAIL11,equity,1,false
CSAN3,equity,1,false
CSAN4,equity,1,false
CSAN11,equity,1,false
EQTL3,equity,1,false
EQTL4,equity,1,false
EQTL11,equity,1,false
ELET3,equity,1,false
ELET4,equity,1,false
ELET11,equity,1,false
SUZB3,equity,1,false
SUZB4,equity,1,false
SUZB11,equity,1,false
GGBR3,equity,1,false
GGBR4,equity,1,false
GGBR11,equity,1,false
USIM3,equity,1,false
USIM4,equity,1,false
USIM11,equity,1,false
CSNA3,equity,1,false
CSNA4,equity,1,false
CSNA11,equity,1,false
TOTS3,equity,1,false
TOTS4,equity,1,false
TOTS11,equity,1,false
PRIO3,equity,1,false
PRIO4,equity,1,false
PRIO11,equity,1,false
RDOR3,equity,1,false
RDOR4,equity,1,false
RDOR11,equity,1,false
HAPV3,equity,1,false
HAPV4,equity,1,false
HAPV11,equity,1,false
HYPE3,equity,1,false
HYPE4,equity,1,false
HYPE11,equity,1,false
RENT3,equity,1,false
RENT4,equity,1,false
RENT11,equity,1,false
ASAI3,equity,1,false
ASAI4,equity,1,false
ASAI11,equity,1,false
EZTC3,equity,1,false
EZTC4,equity,1,false
EZTC11,equity,1,false
MRFG3,equity,1,false
MRFG4,equity,1,false
MRFG11,equity,1,false
MULT3,equity,1,false
MULT4,equity,1,false
MULT11,equity,1,false
BRAP3,equity,1,false
BRAP4,equity,1,false
BRAP11,equity,1,false
POSI3,equity,1,false
POSI4,equity,1,false
POSI11,equity,1,false
BPAC3,equity,1,false
BPAC4,equity,1,false
BPAC11,equity,1,false
BPAN3,equity,1,false
BPAN4,equity,1,false
BPAN11,equity,1,false
SBSP3,equity,1,false
SBSP4,equity,1,false
SBSP11,equity,1,false
SAPR3,equity,1,false
SAPR4,equity,1,false
SAPR11,equity,1,false
LIGT3,equity,1,false
LIGT4,equity,1,false
LIGT11,equity,1,false
TAEE3,equity,1,false
TAEE4,equity,1,false
TAEE11,equity,1,false
TRPL3,equity,1,false
TRPL4,equity,1,false
TRPL11,equity,1,false
CMIG3,equity,1,false
CMIG4,equity,1,false
CMIG11,equity,1,false
CPLE3,equity,1,false
CPLE4,equity,1,false
CPLE11,equity,1,false
ENGI3,equity,1,false
ENGI4,equity,1,false
ENGI11,equity,1,false
EGIE3,equity,1,false
EGIE4,equity,1,false
EGIE11,equity,1,false
GOAU3,equity,1,false
GOAU4,equity,1,false
GOAU11,equity,1,false
PSSA3,equity,1,false
PSSA4,equity,1,false
PSSA11,equity,1,false
BBSE3,equity,1,false
BBSE4,equity,1,false
BBSE11,equity,1,false
IRBR3,equity,1,false
IRBR4,equity,1,false
IRBR11,equity,1,false
CIEL3,equity,1,false
CIEL4,equity,1,false
CIEL11,equity,1,false
UGPA3,equity,1,false
UGPA4,equity,1,false
UGPA11,equity,1,false
COGN3,equity,1,false
COGN4,equity,1,false
COGN11,equity,1,false
YDUQ3,equity,1,false
YDUQ4,equity,1,false
YDUQ11,equity,1,false
EMBR3,equity,1,false
EMBR4,equity,1,false
EMBR11,equity,1,false
GOLL3,equity,1,false
GOLL4,equity,1,false
GOLL11,equity,1,false
AZUL3,equity,1,false
AZUL4,equity,1,false
AZUL11,equity,1,false
SLCE3,equity,1,false
SLCE4,equity,1,false
SLCE11,equity,1,false
SMTO3,equity,1,false
SMTO4,equity,1,false
SMTO11,equity,1,false
AGRO3,equity,1,false
AGRO4,equity,1,false
AGRO11,equity,1,false
CRFB3,equity,1,false
CRFB4,equity,1,false
CRFB11,equity,1,false
PCAR3,equity,1,false
PCAR4,equity,1,false
PCAR11,equity,1,false
AMER3,equity,1,false
AMER4,equity,1,false
AMER11,equity,1,false
GMAT3,equity,1,false
GMAT4,equity,1,false
GMAT11,equity,1,false
SOMA3,equity,1,false
SOMA4,equity,1,false
SOMA11,equity,1,false
VVAR3,equity,1,false
VVAR4,equity,1,false
VVAR11,equity,1,false
ARZZ3,equity,1,false
ARZZ4,equity,1,false
ARZZ11,equity,1,false
GRND3,equity,1,false
GRND4,equity,1,false
GRND11,equity,1,false
ALPA3,equity,1,false
ALPA4,equity,1,false
ALPA11,equity,1,false
MILS3,equity,1,false
MILS4,equity,1,false
MILS11,equity,1,false
VAMO3,equity,1,false
VAMO4,equity,1,false
VAMO11,equity,1,false
SHOW3,equity,1,false
SHOW4,equity,1,false
SHOW11,equity,1,false
