IBOV - Carteira do Dia 03/06/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;478.558.715;0,547;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,909;
ASAI3;ASSAI;ON      NM;1.338.623.499;0,501;
AURE3;AUREN;ON      NM;317.799.925;0,161;
AXIA3;AXIA ENERGIA;ON      N1;1.863.816.444;4,038;
AXIA6;AXIA ENERGIA;PNB     N1;266.311.915;0,631;
AZZA3;AZZAS 2154;ON  ATZ NM;109.571.260;0,086;
B3SA3;B3;ON      NM;4.997.059.816;3,366;
BBSE3;BBSEGURIDADE;ON      NM;616.248.544;0,896;
BBDC3;BRADESCO;ON  EJ  N1;1.464.429.403;0,935;
BBDC4;BRADESCO;PN  EJ  N1;5.100.889.966;3,746;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,245;
BBAS3;BRASIL;ON  EJ  NM;2.842.496.541;2,339;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,110;
BRAV3;BRAVA;ON      NM;462.883.017;0,394;
BPAC11;BTGP BANCO;UNT     N2;1.194.624.560;2,632;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,441;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,097;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,867;
COGN3;COGNA ON;ON      NM;1.915.914.094;0,197;
CSMG3;COPASA;ON      NM;188.467.895;0,413;
CPLE3;COPEL;ON      NM;2.969.406.694;1,800;
CSAN3;COSAN;ON  ATZ NM;2.242.671.999;0,360;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,338;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,326;
CURY3;CURY S/A;ON      NM;160.988.231;0,209;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,260;
DIRR3;DIRECIONAL;ON      NM;327.091.595;0,181;
EMBJ3;EMBRAER;ON      NM;711.833.141;2,119;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,654;
ENEV3;ENEVA;ON      NM;1.913.352.180;2,007;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,502;
EQTL3;EQUATORIAL;ON  ATZ NM;1.247.728.993;2,017;
FLRY3;FLEURY;ON      NM;447.150.822;0,283;
GGBR4;GERDAU;PN      N1;1.258.208.269;1,283;
GOAU4;GERDAU MET;PN      N1;830.837.767;0,363;
HAPV3;HAPVIDA;ON      NM;271.662.290;0,138;
HYPE3;HYPERA;ON      NM;321.083.946;0,288;
IGTI11;IGUATEMI S.A;UNT     N1;205.800.982;0,219;
ISAE4;ISA ENERGIA;PN      N1;415.568.772;0,473;
ITSA4;ITAUSA;PN  EJ  N1;5.970.738.360;3,187;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.050.269.111;8,266;
KLBN11;KLABIN S/A;UNT     N2;804.572.623;0,563;
RENT3;LOCALIZA;ON      NM;978.479.038;1,693;
LREN3;LOJAS RENNER;ON      NM;982.593.716;0,631;
MGLU3;MAGAZ LUIZA;ON      NM;373.155.063;0,088;
POMO4;MARCOPOLO;PN      N2;728.266.241;0,179;
MBRF3;MARFRIG;ON      NM;761.175.338;0,499;
BEEF3;MINERVA;ON      NM;454.804.863;0,066;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,587;
MRVE3;MRV;ON      NM;374.681.353;0,092;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,390;
NATU3;NATURA;ON      NM;838.359.453;0,342;
PETR3;PETROBRAS;ON  EJ  N2;2.237.877.167;4,303;
PETR4;PETROBRAS;PN  EX  N2;4.410.960.450;7,587;
RECV3;PETRORECSA;ON      NM;274.624.898;0,126;
PSSA3;PORTO SEGURO;ON      NM;178.825.403;0,361;
PRIO3;PRIO;ON      NM;757.265.605;1,941;
RADL3;RAIADROGASIL;ON      NM;1.313.915.830;0,984;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,547;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,717;
SBSP3;SABESP;ON      NM;2.870.627.990;3,289;
SANB11;SANTANDER BR;UNT;360.347.199;0,408;
CSNA3;SID NACIONAL;ON;727.975.012;0,215;
SLCE3;SLC AGRICOLA;ON      NM;220.403.658;0,139;
SMFT3;SMART FIT;ON      NM;556.651.316;0,428;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,025;
TAEE11;TAESA;UNT     N2;218.568.234;0,355;
VIVT3;TELEF BRASIL;ON  ERJ;707.125.712;0,989;
TIMS3;TIM;ON      NM;777.451.080;0,708;
TOTS3;TOTVS;ON      NM;533.997.411;0,760;
UGPA3;ULTRAPAR;ON      NM;1.067.870.496;1,136;
USIM5;USIMINAS;PNA     N1;518.256.757;0,258;
VALE3;VALE;ON      NM;3.535.764.048;12,435;
VAMO3;VAMOS;ON      NM;448.052.066;0,055;
VBBR3;VIBRA;ON      NM;1.192.004.780;1,486;
VIVA3;VIVARA S.A.;ON      NM;123.698.325;0,110;
WEGE3;WEG;ON      NM;1.485.954.732;2,582;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,102;
Quantidade Teórica Total;;;93.123.685.158;100,000
Redutor;;;13.874.521,23234986
